name,shortDescription,thumbnailUrl,canonicalUrl,priceInfo.linePrice,description,image,rating,numberOfReviews
"Straight Talk Samsung Galaxy A15, 128GB, Black - Prepaid Smartphone [Locked to Straight Talk]","<li>6.5"" FHD+ Dynamic AMOLED Infinity-U Screen (6.3"" rounded corners)</li><li>5,000mAh battery (25W Fast Charge)</li><li>Triple-lens, 50MP Main camera, 5MP Ultra Wide and 2MP Macro camera system</li>",https://i5.walmartimages.com/asr/b8d27fc1-439d-4079-8d22-c9431a88ae6d.c23095d0ea8df7ac186fa8513c020af8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/Straight-Talk-Samsung-Galaxy-A15-128GB-Black-Prepaid-Smartphone/3341343950?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$129.00,"<li>6.5"" FHD+ Dynamic AMOLED Infinity-U Screen (6.3"" rounded corners)</li><li>5,000mAh battery (25W Fast Charge)</li><li>Triple-lens, 50MP Main camera, 5MP Ultra Wide and 2MP Macro camera system</li>",https://i5.walmartimages.com/asr/b8d27fc1-439d-4079-8d22-c9431a88ae6d.c23095d0ea8df7ac186fa8513c020af8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3.7,214.0
"AT&T Apple iPhone 12, 64GB, Black - Prepaid Smartphone",,https://i5.walmartimages.com/seo/Apple-iPhone-12-64GB-Black-Prepaid-Smartphone_58dab2c3-ac2c-439a-9d68-6562a07b2836.7aeb3b29a567d9b62115809fc9d3a857.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,/ip/Apple-iPhone-12-64GB-Black-Prepaid-Smartphone/5102802129?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$399.00,,https://i5.walmartimages.com/seo/Apple-iPhone-12-64GB-Black-Prepaid-Smartphone_58dab2c3-ac2c-439a-9d68-6562a07b2836.7aeb3b29a567d9b62115809fc9d3a857.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,4.2,27.0
"AT&T Moto g Play 2024, 64GB, Sapphire Blue, Prepaid Smartphone","Moto g Play 2024, 64GB, Sapphire Blue, Prepaid Smartphone",https://i5.walmartimages.com/asr/38b60d43-55fb-40af-9088-adcc1611144c.77aa5edf688e43071f1837ccabd7564f.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/Moto-g-Play-2024-64GB-Blue-Prepaid-Smartphone/5321123189?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D&athbdg=L1600,$49.88,"Moto g Play 2024, 64GB, Sapphire Blue, Prepaid Smartphone",https://i5.walmartimages.com/asr/38b60d43-55fb-40af-9088-adcc1611144c.77aa5edf688e43071f1837ccabd7564f.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3.7,9.0
"AT&T Samsung Galaxy A15 5G, 128GB, 4GB RAM, Black - Prepaid Smartphone","AT&T Samsung Galaxy A15 5G, 128GB, 4GB RAM, Black - Prepaid Smartphone",https://i5.walmartimages.com/asr/624674cc-30ca-4a64-937e-e6e8d60e024b.4df35fd3a1929d402d0ac563ea75a69d.png?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/AT-T-Samsung-Galaxy-A15-5G-128GB-Prepaid-Smartphone/5074931811?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$139.00,"AT&T Samsung Galaxy A15 5G, 128GB, 4GB RAM, Black - Prepaid Smartphone",https://i5.walmartimages.com/asr/624674cc-30ca-4a64-937e-e6e8d60e024b.4df35fd3a1929d402d0ac563ea75a69d.png?odnHeight=180&odnWidth=180&odnBg=ffffff,2.9,82.0
"Cricket Wireless Moto G Stylus 2023, 128GB, 4GB RAM, 8MP FF Camera, Blue - Prepaid Smartphone",moto g stylus (2023),https://i5.walmartimages.com/asr/59c2f436-11ef-439b-8075-055571c1878e.d3fe40f23c9a4ba57f7e64aec2a96cfb.png?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/Cricket-Wireless-Moto-G-Stylus-2023-128GB-4GB-RAM-Blue-Prepaid-Smartphone/2548468495?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$59.88,moto g stylus (2023),https://i5.walmartimages.com/asr/59c2f436-11ef-439b-8075-055571c1878e.d3fe40f23c9a4ba57f7e64aec2a96cfb.png?odnHeight=180&odnWidth=180&odnBg=ffffff,4.3,838.0
"Straight Talk Samsung Galaxy A14, 5G, 64GB, Black - Prepaid Smartphone [Locked to Straight Talk]","<li>50 MP triple-camera system</li><li>64GB storage</li><li>15W Fast-charging 5000mAh battery</li><li>5G coverage on Americas most reliable network</li><li>Compatible with talk, text & data plans from</li>",https://i5.walmartimages.com/asr/9b0dfc82-e67d-4b6f-9bbb-15bbce461a54.651c0beca9f59bba2fd36838bef41918.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/Straight-Talk-Samsung-Galaxy-A14-5G-64GB-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/2311706193?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D&athbdg=L1102,$79.88,"<li>50 MP triple-camera system</li><li>64GB storage</li><li>15W Fast-charging 5000mAh battery</li><li>5G coverage on Americas most reliable network</li><li>Compatible with talk, text & data plans from</li>",https://i5.walmartimages.com/asr/9b0dfc82-e67d-4b6f-9bbb-15bbce461a54.651c0beca9f59bba2fd36838bef41918.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,4.1,2391.0
"Verizon Motorola G Play 2024, 64GB, Sapphire Blue - Prepaid Smartphone [Locked to Verizon Prepaid]","Verizon Motorola G Play 2024, 64GB, Sapphire Blue - Prepaid Smartphone [Locked to Verizon Prepaid]",https://i5.walmartimages.com/asr/6b42421a-9586-4a0f-8d31-ebcf8279b45a.8b5d630ba0bb9413c4ad7b0d1f5848e1.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/Verizon-Motorola-G-Play-2024-64GB-Sapphire-Blue-Prepaid-Smartphone-Locked-to-Verizon-Prepaid/5459814839?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$69.88,"Verizon Motorola G Play 2024, 64GB, Sapphire Blue - Prepaid Smartphone [Locked to Verizon Prepaid]",https://i5.walmartimages.com/asr/6b42421a-9586-4a0f-8d31-ebcf8279b45a.8b5d630ba0bb9413c4ad7b0d1f5848e1.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,4.4,8.0
"Tracfone BLU View 5 Pro, 64GB, Black - Prepaid Smartphone [Locked to Tracfone]",<li>Navigate quickly with a Mediatek Helio G36 processor</li><li>Enjoy the power of 4GB of RAM and a 90Hz Refresh Rate</li><li>50MP Triple Main Camera with 8MP Selfie Camera</li><li>Record</li>,https://i5.walmartimages.com/asr/97ef9acc-15f0-494e-a29b-16ee4546c07a.dd6c7342250406c7fe3c00b565203b4e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/TF-BLU-B170D-CDMA-LTE-GRAY-HANDSET-WALMART-POSA/5296361527?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$69.88,<li>Navigate quickly with a Mediatek Helio G36 processor</li><li>Enjoy the power of 4GB of RAM and a 90Hz Refresh Rate</li><li>50MP Triple Main Camera with 8MP Selfie Camera</li><li>Record</li>,https://i5.walmartimages.com/asr/97ef9acc-15f0-494e-a29b-16ee4546c07a.dd6c7342250406c7fe3c00b565203b4e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3.8,5.0
"Straight Talk Apple iPhone SE (2022-3rd Gen) 5G, 64GB, Midnight - Prepaid Smartphone [Locked to Straight Talk]","<li>5G cellular<sup>1</sup></li><li>4.7-inch Retina HD display</li><li>A15 Bionic Chip</li><li>Coverage on America's most reliable 5G network</li><li>Compatible with talk, text & data plans from</li>",https://i5.walmartimages.com/seo/Straight-Talk-Apple-iPhone-SE-2022-3rd-Gen-5G-64GB-Midnight-Prepaid-Smartphone-Locked-to-Straight-Talk_09ed12de-92c5-449f-8e7f-8125bf5d17d1.c055f1517bd70806914f222dbefb18ef.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,/ip/Straight-Talk-Apple-iPhone-SE-2022-3rd-Gen-5G-64GB-Midnight-Prepaid-Smartphone-Locked-to-Straight-Talk/616074177?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$179.00,"<li>5G cellular<sup>1</sup></li><li>4.7-inch Retina HD display</li><li>A15 Bionic Chip</li><li>Coverage on America's most reliable 5G network</li><li>Compatible with talk, text & data plans from</li>",https://i5.walmartimages.com/seo/Straight-Talk-Apple-iPhone-SE-2022-3rd-Gen-5G-64GB-Midnight-Prepaid-Smartphone-Locked-to-Straight-Talk_09ed12de-92c5-449f-8e7f-8125bf5d17d1.c055f1517bd70806914f222dbefb18ef.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,4.3,2166.0
"Total By Verizon Motorola Moto G Play 4G (2024), 64GB, Black - Prepaid Smartphone [Locked to Total By Verizon]","<li>90Hz refresh rate for smooth app switching and scrolling</li><li>Impressive yet tough 6.5"" HD+ 90Hz Display with Corning Gorilla Glass</li><li>50MP Quad Pixel Camera</li><li>Stay charged for up to</li>",https://i5.walmartimages.com/asr/35062c9f-8662-4162-87e0-2c2ff95e3eb0.9279bf7dee7bb1986c833eaa075d7b2e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/TV-MOTOROLA-XT2413V-CDMA-LTE-BLUE-HANDSET-WALMART-POSA/5243945060?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$49.88,"<li>90Hz refresh rate for smooth app switching and scrolling</li><li>Impressive yet tough 6.5"" HD+ 90Hz Display with Corning Gorilla Glass</li><li>50MP Quad Pixel Camera</li><li>Stay charged for up to</li>",https://i5.walmartimages.com/asr/35062c9f-8662-4162-87e0-2c2ff95e3eb0.9279bf7dee7bb1986c833eaa075d7b2e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3.0,2.0
"Walmart Family Mobile Motorola moto g Power 5G (2024), 128GB, Black - Prepaid Smartphone [Locked to Walmart Family Mobile]",<li>Powerful 50MP Quad Pixel Camera with 8MP Macro+ Ultra-Wide Angle lens</li><li>Strike a pose with a 16MP Ultra Pixel selfie camera</li><li>7-in FHD+ 120Hz display for an ultra-smooth refresh rate</li>,https://i5.walmartimages.com/asr/20bc8490-45a4-4fe2-a4f9-24aeb5041f37.701446dcd0438058ea92f6a5478b641e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/WFM-MOTOROLA-XT2415V-CDMA-LTE-HANDSET-WALMART-POSA/5243945539?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$149.00,<li>Powerful 50MP Quad Pixel Camera with 8MP Macro+ Ultra-Wide Angle lens</li><li>Strike a pose with a 16MP Ultra Pixel selfie camera</li><li>7-in FHD+ 120Hz display for an ultra-smooth refresh rate</li>,https://i5.walmartimages.com/asr/20bc8490-45a4-4fe2-a4f9-24aeb5041f37.701446dcd0438058ea92f6a5478b641e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3.2,5.0
"Tracfone Motorola moto g 5G (2024), 64GB, Gray - Prepaid Smartphone [Locked to Tracfone]","<li>A 6.5-in 120Hz display for smooth scrolling and swiping</li><li>Capture beautiful photos on a 50MP Quad Pixel camera with Dual Capture</li><li>Long-lasting 5,000mAh battery for up to two days of</li>",https://i5.walmartimages.com/asr/80898036-7f22-4e0b-9bed-8ae26d6cf8b5.6982f36b8a21a9031991f9ca59a1cd71.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/TF-MOTOROLA-XT2417D-CDMA-LTE-GRAY-HANDSET-WALMART-POSA/5249179822?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$99.88,"<li>A 6.5-in 120Hz display for smooth scrolling and swiping</li><li>Capture beautiful photos on a 50MP Quad Pixel camera with Dual Capture</li><li>Long-lasting 5,000mAh battery for up to two days of</li>",https://i5.walmartimages.com/asr/80898036-7f22-4e0b-9bed-8ae26d6cf8b5.6982f36b8a21a9031991f9ca59a1cd71.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3.8,13.0
"Tracfone Samsung A15 4G , 128 GB, LTE, 6GB RAM, Black - Prepaid Smartpone [Locked to Tracfone Wireless}","<li>6.5"" FHD+ Dynamic AMOLED Infinity-U Screen (6.3"" rounded corners)</li><li>5,000mAh battery (25W Fast Charge)</li><li>Triple-lens, 50MP Main camera, 5MP Ultra Wide and 2MP Macro camera system</li>",https://i5.walmartimages.com/asr/b8d27fc1-439d-4079-8d22-c9431a88ae6d.c23095d0ea8df7ac186fa8513c020af8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/Tracfone-Samsung-Galaxy-A15-128GB-Black-Prepaid-Smartphone/2416337254?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$149.00,"<li>6.5"" FHD+ Dynamic AMOLED Infinity-U Screen (6.3"" rounded corners)</li><li>5,000mAh battery (25W Fast Charge)</li><li>Triple-lens, 50MP Main camera, 5MP Ultra Wide and 2MP Macro camera system</li>",https://i5.walmartimages.com/asr/b8d27fc1-439d-4079-8d22-c9431a88ae6d.c23095d0ea8df7ac186fa8513c020af8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,4.0,125.0
"Walmart Family Mobile Motorola moto g 5G 2024, 64GB, Gray - Prepaid Smartphone [Locked to Walmart Family Mobile]","<li>A 6.5-in 120Hz display for smooth scrolling and swiping</li><li>Capture beautiful photos on a 50MP Quad Pixel camera with Dual Capture</li><li>Long-lasting 5,000mAh battery for up to two days of</li>",https://i5.walmartimages.com/asr/80898036-7f22-4e0b-9bed-8ae26d6cf8b5.6982f36b8a21a9031991f9ca59a1cd71.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/WFM-MOTOROLA-XT2417D-CDMA-LTE-GRAY-HANDSET-WALMART-POSA/5242633697?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$79.88,"<li>A 6.5-in 120Hz display for smooth scrolling and swiping</li><li>Capture beautiful photos on a 50MP Quad Pixel camera with Dual Capture</li><li>Long-lasting 5,000mAh battery for up to two days of</li>",https://i5.walmartimages.com/asr/80898036-7f22-4e0b-9bed-8ae26d6cf8b5.6982f36b8a21a9031991f9ca59a1cd71.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,2.9,7.0
"Total by Verizon Motorola Moto G Stylus 4G (2023), 64GB, Blue - Prepaid Smartphone [Locked to Total By Verizon]","<li>Built-in stylus</li><li>50MP Main Camera</li><li>64GB Storage</li><li>Compatible with no-contract talk, text & data plans from Total by Verizon</li><li>Enjoy coverage for all of life's adventures</li>",https://i5.walmartimages.com/asr/1446affc-5180-479a-bfca-8258bd2348fc.28043ba39c82a52d6b41a6f3515dd17d.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/Total-by-Verizon-Motorola-Moto-G-Stylus-4G-2023-64GB-Blue-Prepaid-Smartphone-Locked-to-Total-by-Verizon/2202094603?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$59.88,"<li>Built-in stylus</li><li>50MP Main Camera</li><li>64GB Storage</li><li>Compatible with no-contract talk, text & data plans from Total by Verizon</li><li>Enjoy coverage for all of life's adventures</li>",https://i5.walmartimages.com/asr/1446affc-5180-479a-bfca-8258bd2348fc.28043ba39c82a52d6b41a6f3515dd17d.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3.4,193.0
"Straight Talk Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone [Locked to Straight Talk]",<li>6.5 HD+ LCD 60Hz Infinity-V Display</li><li>13MP Multi-Lens Camera</li><li>5G* Ready Connectivity</li><li>Nationwide coverage on Americas largest and most dependable networks</li><li>Compatible</li>,https://i5.walmartimages.com/asr/48260dd5-2514-4508-8384-e31a0d87e3ff.74fbf31ab86956fd1be40e125ef6b603.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/Straight-Talk-Samsung-Galaxy-A03s-32GB-Black-Prepaid-Smartphone-Locked-to-Straight-Talk/706770009?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D&athbdg=L1102,$39.88,<li>6.5 HD+ LCD 60Hz Infinity-V Display</li><li>13MP Multi-Lens Camera</li><li>5G* Ready Connectivity</li><li>Nationwide coverage on Americas largest and most dependable networks</li><li>Compatible</li>,https://i5.walmartimages.com/asr/48260dd5-2514-4508-8384-e31a0d87e3ff.74fbf31ab86956fd1be40e125ef6b603.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,3.8,5268.0
"Verizon SAMSUNG A15 5G, 128GB, Black - Prepaid Smartphone [Locked to Verizon Prepaid]","Samsung SMA156UZKVZPP A15 6.5'' 5G 4GB RAM 128GB Storage Processor Speed 2.2 GHz Locked to Verizon PrepaidSmartphone, Black",https://i5.walmartimages.com/asr/f3b08f5c-27bd-4696-a52f-db195881740c.fece3db1e1b3f113de0aee093780e3ce.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,/ip/Verizon-Samsung-A15-128GB-Black-Prepaid-Smartphone-Locked-to-Verizon-Prepaid/5113175372?fulfillmentIntent=In-store&filters=%5B%7B%22intent%22%3A%22fulfillmentIntent%22%2C%22values%22%3A%5B%22In-store%22%5D%7D%5D,$161.23,"Samsung SMA156UZKVZPP A15 6.5'' 5G 4GB RAM 128GB Storage Processor Speed 2.2 GHz Locked to Verizon PrepaidSmartphone, Black",https://i5.walmartimages.com/asr/f3b08f5c-27bd-4696-a52f-db195881740c.fece3db1e1b3f113de0aee093780e3ce.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,4.3,30.0
